cudacoresfactor, 2xcopytime, kerneltime0, kerneltimeN
87, 881328.746000, 1558.734000, 1652.408000
88, 890285.526000, 1531.713000, 1658.753000
89, 898736.910000, 1535.171000, 1665.696000
90, 907294.478000, 1550.594000, 1662.800000
91, 916558.482000, 1544.317000, 1668.731000
92, 927113.062000, 1539.810000, 1665.581000
93, 935594.338000, 1534.827000, 1667.561000
94, 945738.670000, 1554.349000, 1666.721000
95, 953766.192000, 1547.558000, 1672.911000
96, 962130.604000, 1532.037000, 1675.301000
97, 970725.152000, 1533.005000, 1664.412000
98, 979280.888000, 1522.393000, 1668.741000
99, 988530.626000, 1538.027000, 1676.437000
100, 997293.736000, 1529.201000, 1676.692000
101, 1005206.238000, 1529.487000, 1673.049000
102, 1015387.018000, 1556.217000, 1677.308000
103, 1023043.584000, 1554.012000, 1700.190000
104, 1032111.742000, 1558.253000, 1681.063000
105, 1040523.266000, 1544.503000, 1676.337000
106, 1048752.072000, 1543.766000, 1684.773000
107, 1058145.882000, 1557.852000, 1680.812000
108, 1066926.972000, 1564.238000, 1683.123000
109, 1075410.424000, 1576.187000, 1681.265000
110, 1087716.022000, 1575.244000, 1685.409000
111, 1096550.342000, 1547.678000, 1687.887000
112, 1105994.384000, 1584.505000, 1697.817000
113, 1113828.392000, 1555.104000, 1691.589000
114, 1122957.466000, 1542.165000, 1705.168000
115, 1131622.360000, 1556.172000, 1685.792000
116, 1140782.428000, 1544.250000, 1692.586000
117, 1149272.566000, 1579.676000, 1701.894000
118, 1157841.378000, 1552.834000, 1699.261000
119, 1167631.318000, 1588.848000, 1710.273000
120, 1175266.076000, 1608.847000, 1699.990000
121, 1184076.280000, 1580.013000, 1707.143000
122, 1192724.950000, 1570.938000, 1713.076000
123, 1202412.000000, 1590.594000, 1701.107000
124, 1210615.502000, 1602.433000, 1705.529000
125, 1219093.682000, 1586.023000, 1703.819000
126, 1228579.074000, 1621.044000, 1705.707000
127, 1236548.066000, 1590.160000, 1712.122000
128, 1245328.100000, 1613.095000, 1704.597000
129, 1255920.746000, 1597.489000, 1717.274000
130, 1264684.632000, 1617.727000, 1717.982000
131, 1273387.170000, 1610.810000, 1739.537000
132, 1283092.216000, 1629.752000, 1723.994000
133, 1291338.604000, 1593.391000, 1724.157000
134, 1300614.958000, 1639.375000, 1725.912000
135, 1308698.518000, 1585.557000, 1728.903000
136, 1317749.664000, 1653.777000, 1722.591000
137, 1326773.058000, 1614.850000, 1718.240000
138, 1335796.256000, 1666.136000, 1717.258000
139, 1343615.024000, 1585.568000, 1726.000000
140, 1352539.666000, 1625.209000, 1723.130000
141, 1361390.658000, 1628.962000, 1721.843000
142, 1371010.258000, 1630.080000, 1735.037000
143, 1379332.726000, 1605.366000, 1724.762000
144, 1388125.406000, 1621.851000, 1731.880000
145, 1396995.572000, 1606.637000, 1726.140000
146, 1405816.176000, 1625.648000, 1726.334000
147, 1417533.050000, 1627.451000, 1727.870000
148, 1426389.686000, 1609.543000, 1721.946000
149, 1434933.090000, 1609.867000, 1735.527000
150, 1444707.794000, 1623.846000, 1741.955000
151, 1452743.394000, 1590.811000, 1723.252000
152, 1461266.406000, 1609.704000, 1732.315000
153, 1470641.418000, 1617.878000, 1728.638000
154, 1479323.542000, 1600.877000, 1735.980000
155, 1488918.904000, 1647.403000, 1742.581000
156, 1496900.438000, 1622.347000, 1735.240000
157, 1505310.066000, 1624.900000, 1738.078000
158, 1514131.586000, 1609.406000, 1740.509000
159, 1522880.440000, 1619.438000, 1739.385000
160, 1531748.998000, 1626.467000, 1747.856000
161, 1540689.398000, 1630.200000, 1729.330000
162, 1549237.866000, 1641.917000, 1735.013000
163, 1558412.946000, 1610.321000, 1736.178000
164, 1567109.308000, 1639.035000, 1738.275000
165, 1577765.858000, 1621.306000, 1731.605000
166, 1586322.186000, 1640.589000, 1744.539000
167, 1595466.818000, 1639.447000, 1760.726000
168, 1603764.958000, 1635.759000, 1746.281000
169, 1612860.280000, 1641.320000, 1739.676000
170, 1621493.540000, 1623.856000, 1748.916000
171, 1630371.210000, 1630.228000, 1741.811000
172, 1639232.112000, 1649.421000, 1738.605000
173, 1647852.352000, 1648.845000, 1736.934000
174, 1657426.128000, 1649.829000, 1739.822000
175, 1665109.150000, 1616.745000, 1749.665000
176, 1673912.110000, 1632.065000, 1742.363000
177, 1682431.236000, 1630.876000, 1749.461000
178, 1691404.274000, 1636.809000, 1764.389000
179, 1702914.240000, 1647.052000, 1764.922000
180, 1709494.092000, 1635.463000, 1753.355000
181, 1718075.070000, 1635.357000, 1754.521000
182, 1726718.562000, 1649.377000, 1751.212000
183, 1739076.516000, 1630.193000, 1881.724000
184, 1747918.914000, 1641.127000, 1755.693000
185, 1756426.758000, 1647.525000, 1751.754000
186, 1765166.920000, 1636.964000, 1763.680000
