cudacoresfactor, 2xcopytime, kerneltime0, kerneltimeN
583, 5724783.714000, 1677.667000, 1919.578000
584, 5740816.788000, 1689.232000, 1916.469000
585, 5776270.694000, 1698.750000, 1912.848000
586, 5784781.710000, 1708.931000, 1912.772000
587, 5785519.892000, 1677.512000, 1904.817000
588, 5806172.814000, 1699.183000, 1912.830000
589, 5804498.250000, 1699.256000, 1957.086000
590, 5826239.886000, 1730.402000, 1961.009000
591, 5851199.308000, 1699.420000, 1932.164000
592, 5835296.650000, 1685.495000, 1947.630000
593, 5862882.112000, 1731.587000, 1934.018000
594, 5852287.748000, 1723.464000, 1940.874000
595, 5863074.808000, 1744.225000, 1945.093000
596, 5893128.212000, 1722.781000, 1947.897000
597, 5887201.810000, 1726.888000, 1945.408000
598, 5911928.036000, 1718.410000, 1958.327000
599, 5919230.902000, 1711.374000, 1938.530000
600, 5911591.002000, 1705.498000, 1961.117000
601, 5933744.978000, 1742.271000, 1942.857000
602, 5932107.198000, 1701.851000, 1944.930000
603, 5967810.486000, 1723.061000, 1946.706000
604, 5971747.890000, 1701.875000, 1954.306000
605, 5993887.370000, 1743.095000, 1957.078000
606, 5982157.320000, 1701.456000, 1951.571000
607, 5992802.884000, 1709.928000, 1954.415000
608, 6016637.084000, 1706.763000, 1936.504000
609, 6010779.728000, 1714.598000, 1964.593000
610, 6022658.828000, 1708.563000, 1933.161000
611, 6044869.328000, 1716.353000, 1949.301000
612, 6038247.202000, 1724.870000, 1941.324000
613, 6059215.792000, 1727.263000, 1943.917000
614, 6053869.242000, 1707.862000, 1931.229000
615, 6081540.340000, 1699.318000, 1942.242000
616, 6091645.186000, 1694.742000, 1941.306000
617, 6086117.446000, 1705.338000, 1911.832000
618, 6089374.814000, 1690.763000, 1965.413000
619, 6097274.608000, 1696.188000, 1928.930000
620, 6127404.334000, 1697.236000, 1942.623000
621, 6142699.756000, 1733.436000, 1935.482000
622, 6147128.562000, 1719.833000, 1959.438000
623, 6150037.784000, 1713.730000, 1919.769000
624, 6157581.652000, 1681.867000, 1951.432000
625, 6175246.522000, 1696.205000, 1926.228000
626, 6195080.514000, 1695.328000, 1931.504000
